datetime,instrument,score
2018-12-28,SH601901,-0.2722218
2018-12-28,SZ000783,0.012811013
2018-12-28,SH601066,0.03186585
2018-12-28,SZ002625,0.16134135
2018-12-28,SH600038,0.30284774
2018-12-28,SH600061,0.11783831
2018-12-28,SH600369,-0.1689159
2018-12-28,SZ000768,0.10238437
2018-12-28,SH600760,0.060920637
2018-12-28,SH601212,0.35736978
2018-12-28,SZ002797,0.1371489
2018-12-28,SZ300251,0.33260864
2018-12-28,SH601919,0.13217223
2018-12-28,SH600372,0.1625149
2018-12-28,SH601377,-0.05704249
2018-12-28,SH600893,-0.07195479
2018-12-28,SH601818,0.04385993
2018-12-28,SZ000728,-0.052844934
2018-12-28,SH600588,-0.023283392
2018-12-28,SH601211,-0.12421368
2018-12-28,SH600909,0.19546857
2018-12-28,SH600958,0.35040662
2018-12-28,SH601766,0.4503126
2018-12-28,SZ000166,0.3609309
2018-12-28,SH601555,0.36893886
2018-12-28,SZ002736,0.53510153
2018-12-28,SH600705,0.24145138
2018-12-28,SH601989,0.28194812
2018-12-28,SH600489,-0.062152103
2018-12-28,SH601688,0.071079716
2018-12-28,SH600109,0.06452054
2018-12-28,SH601788,0.23869053
2018-12-28,SH600837,0.20708792
2018-12-28,SZ002673,0.09410849
2018-12-28,SH601328,0.17174219
2018-12-28,SH601601,0.15831423
2018-12-28,SH600547,0.030042678
2018-12-28,SH600029,0.07994351
2018-12-28,SH601878,0.033004776
2018-12-28,SH600739,0.5747204
2018-12-28,SH601881,0.298823
2018-12-28,SH600118,0.19907027
2018-12-28,SH600048,0.2166104
2018-12-28,SZ002230,-0.040319532
2018-12-28,SH600688,0.18205641
2018-12-28,SZ002027,0.31722337
2018-12-28,SH601108,0.21267784
2018-12-28,SZ002493,0.44539854
2018-12-28,SH600111,0.10289245
2018-12-28,SH601198,0.11907417
2018-12-28,SZ000839,0.26215762
2018-12-28,SH601229,0.21766652
2018-12-28,SH600390,0.06262152
2018-12-28,SZ000157,0.39779437
2018-12-28,SH600415,0.25147265
2018-12-28,SH601336,0.11438329
2018-12-28,SH600010,0.10064307
2018-12-28,SH601899,0.22681773
2018-12-28,SH600036,-0.020605054
2018-12-28,SH600019,0.37065664
2018-12-28,SZ000625,0.2186795
2018-12-28,SZ300059,0.34008327
2018-12-28,SZ002179,0.21764496
2018-12-28,SZ300070,0.1430812
2018-12-28,SH600018,0.0934809
2018-12-28,SH600816,-0.068926185
2018-12-28,SH600000,0.2754539
2018-12-28,SH600570,-0.028218716
2018-12-28,SH600383,0.14789572
2018-12-28,SH601628,0.052389026
2018-12-28,SH601727,0.2661647
2018-12-28,SH600170,0.21340005
2018-12-28,SZ000001,0.30181393
2018-12-28,SH600999,0.35347322
2018-12-28,SH600900,-0.028272014
2018-12-28,SH601333,0.18608694
2018-12-28,SZ300033,0.20334965
